,ibns_20u,vgs_m1,name,type,time,OK
0,19.85802,0.7579687,tran_LayGtKfsTlVt,Lay,Mon Sep  1 10:22:18 2025,False
1,20.00873,0.685388,tran_LayGtKsfTlVt,Lay,Mon Sep  1 10:22:16 2025,True
2,19.98604,0.6953347,tran_LayGtKffTlVt,Lay,Mon Sep  1 10:22:15 2025,True
3,19.87705,0.7480513,tran_LayGtKssTlVt,Lay,Mon Sep  1 10:22:13 2025,False
4,20.02328,0.6838284,tran_LayGtKfsThVt,Lay,Mon Sep  1 10:22:12 2025,True
5,20.18469,0.6037314,tran_LayGtKsfThVt,Lay,Mon Sep  1 10:22:11 2025,True
6,20.16414,0.61373,tran_LayGtKffThVt,Lay,Mon Sep  1 10:22:09 2025,True
7,20.04129,0.6738161,tran_LayGtKssThVt,Lay,Mon Sep  1 10:22:08 2025,True
